Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment
S5617,247,7020,9005,CT,Litchfield,108
S5617,247,7030,9007,CT,Middlesex,56
S5617,247,7040,9009,CT,New Haven,291
S5617,247,7050,9011,CT,New London,106
S5617,247,7060,9013,CT,Tolland,46
S5617,247,7070,9015,CT,Windham,28
S5617,281,7000,9001,CT,Fairfield,492
S5617,281,7010,9003,CT,Hartford,226
S5617,281,7020,9005,CT,Litchfield,123
S5617,281,7030,9007,CT,Middlesex,59
S5617,281,7040,9009,CT,New Haven,209
S5617,281,7050,9011,CT,New London,127
S5617,281,7060,9013,CT,Tolland,44
S5617,281,7070,9015,CT,Windham,48
S5617,801,7000,9001,CT,Fairfield,142
S5617,801,7010,9003,CT,Hartford,76
S5617,801,7020,9005,CT,Litchfield,15
S5617,801,7030,9007,CT,Middlesex,58
S5617,801,7040,9009,CT,New Haven,19
S5617,801,7050,9011,CT,New London,21
S5617,805,7000,9001,CT,Fairfield,107
S5617,805,7010,9003,CT,Hartford,608
S5617,805,7020,9005,CT,Litchfield,35
S5617,805,7030,9007,CT,Middlesex,24
S5617,805,7040,9009,CT,New Haven,48
S5617,805,7050,9011,CT,New London,20
S5617,805,7060,9013,CT,Tolland,59
S5660,105,7000,9001,CT,Fairfield,617
S5660,105,7010,9003,CT,Hartford,492
S5660,105,7020,9005,CT,Litchfield,150
S5660,105,7030,9007,CT,Middlesex,111
S5660,105,7040,9009,CT,New Haven,419
S5660,105,7050,9011,CT,New London,189
S5660,105,7060,9013,CT,Tolland,75
S5660,105,7070,9015,CT,Windham,74
S5660,206,7000,9001,CT,Fairfield,195
S5660,206,7010,9003,CT,Hartford,98
S5660,206,7020,9005,CT,Litchfield,32
S5660,206,7030,9007,CT,Middlesex,26
S5660,206,7040,9009,CT,New Haven,112
S5660,206,7050,9011,CT,New London,39
S5660,206,7060,9013,CT,Tolland,16
S5660,206,7070,9015,CT,Windham,27
S5660,219,7000,9001,CT,Fairfield,602
S5660,219,7010,9003,CT,Hartford,439
S5660,219,7020,9005,CT,Litchfield,132
S5660,219,7030,9007,CT,Middlesex,105
S5660,219,7040,9009,CT,New Haven,477
S5660,219,7050,9011,CT,New London,193
S5660,219,7060,9013,CT,Tolland,90
S5660,219,7070,9015,CT,Windham,62
S5660,801,7000,9001,CT,Fairfield,8331
S5660,801,7010,9003,CT,Hartford,7376
S5660,801,7020,9005,CT,Litchfield,2031
S5660,801,7030,9007,CT,Middlesex,2113
S5660,801,7040,9009,CT,New Haven,7145
S5660,801,7050,9011,CT,New London,3827
S5660,801,7060,9013,CT,Tolland,1441
S5660,801,7070,9015,CT,Windham,928
S5660,802,7000,9001,CT,Fairfield,42
S5660,802,7010,9003,CT,Hartford,25
S5660,802,7040,9009,CT,New Haven,55
S5660,803,7000,9001,CT,Fairfield,16
S5660,803,7010,9003,CT,Hartford,23
S5660,803,7040,9009,CT,New Haven,12
S5660,806,7000,9001,CT,Fairfield,34
S5660,806,7010,9003,CT,Hartford,443
S5660,806,7020,9005,CT,Litchfield,159
S5660,806,7030,9007,CT,Middlesex,34
S5660,806,7040,9009,CT,New Haven,175
S5660,806,7050,9011,CT,New London,20
S5660,806,7070,9015,CT,Windham,11
S5768,126,7000,9001,CT,Fairfield,1040
S5768,126,7010,9003,CT,Hartford,794
S5768,126,7020,9005,CT,Litchfield,283
S5768,126,7030,9007,CT,Middlesex,172
S5768,126,7040,9009,CT,New Haven,793
S5768,126,7050,9011,CT,New London,260
S5768,126,7060,9013,CT,Tolland,125
S5768,126,7070,9015,CT,Windham,143
S5805,803,7000,9001,CT,Fairfield,14
S5810,36,7000,9001,CT,Fairfield,2234
S5810,36,7010,9003,CT,Hartford,2446
S5810,36,7020,9005,CT,Litchfield,598
S5810,36,7030,9007,CT,Middlesex,408
S5810,36,7040,9009,CT,New Haven,2277
S5810,36,7050,9011,CT,New London,871
S5810,36,7060,9013,CT,Tolland,262
S5810,36,7070,9015,CT,Windham,397
S5810,37,7000,9001,CT,Fairfield,17
S5810,276,7000,9001,CT,Fairfield,1834
S5810,276,7010,9003,CT,Hartford,1198
S5810,276,7020,9005,CT,Litchfield,375
S5810,276,7030,9007,CT,Middlesex,293
S5810,276,7040,9009,CT,New Haven,1267
S5810,276,7050,9011,CT,New London,466
S5810,276,7060,9013,CT,Tolland,212
S5810,276,7070,9015,CT,Windham,144
S5820,2,7000,9001,CT,Fairfield,12830
S5820,2,7010,9003,CT,Hartford,8343
S5820,2,7020,9005,CT,Litchfield,2733
S5820,2,7030,9007,CT,Middlesex,2071
