"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"301","R7444",1,7020,9005,"CT","Litchfield",333,"2019"
"302","R7444",1,7030,9007,"CT","Middlesex",188,"2019"
"303","R7444",1,7040,9009,"CT","New Haven",673,"2019"
"304","R7444",1,7050,9011,"CT","New London",469,"2019"
"305","R7444",1,7060,9013,"CT","Tolland",186,"2019"
"306","R7444",1,7070,9015,"CT","Windham",402,"2019"
"307","S0655",801,7010,9003,"CT","Hartford",12,"2019"
"308","S2893",1,7000,9001,"CT","Fairfield",2094,"2019"
"309","S2893",1,7010,9003,"CT","Hartford",1656,"2019"
"310","S2893",1,7020,9005,"CT","Litchfield",558,"2019"
"311","S2893",1,7030,9007,"CT","Middlesex",480,"2019"
"312","S2893",1,7040,9009,"CT","New Haven",1904,"2019"
"313","S2893",1,7050,9011,"CT","New London",642,"2019"
"314","S2893",1,7060,9013,"CT","Tolland",265,"2019"
"315","S2893",1,7070,9015,"CT","Windham",238,"2019"
"316","S2893",3,7000,9001,"CT","Fairfield",638,"2019"
"317","S2893",3,7010,9003,"CT","Hartford",445,"2019"
"318","S2893",3,7020,9005,"CT","Litchfield",151,"2019"
"319","S2893",3,7030,9007,"CT","Middlesex",127,"2019"
"320","S2893",3,7040,9009,"CT","New Haven",589,"2019"
"321","S2893",3,7050,9011,"CT","New London",180,"2019"
"322","S2893",3,7060,9013,"CT","Tolland",77,"2019"
"323","S2893",3,7070,9015,"CT","Windham",57,"2019"
"324","S2893",801,7000,9001,"CT","Fairfield",179,"2019"
"325","S2893",801,7010,9003,"CT","Hartford",429,"2019"
"326","S2893",801,7020,9005,"CT","Litchfield",113,"2019"
"327","S2893",801,7030,9007,"CT","Middlesex",74,"2019"
"328","S2893",801,7040,9009,"CT","New Haven",135,"2019"
"329","S2893",801,7050,9011,"CT","New London",185,"2019"
"330","S2893",801,7060,9013,"CT","Tolland",42,"2019"
"331","S2893",801,7070,9015,"CT","Windham",105,"2019"
